SALE TYPE,PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
PAST SALE,Single Family Residential,Canyon Country,91387.0,652000,3.0,3.0,Canyon Country 3,2335.0,5378.0,2011.0,24,279.0,82.0,34.4037211,-118.4378751
PAST SALE,Condo/Co-op,Valencia,91381.0,572500,3.0,2.5,Valencia Westridge,1702.0,78516.0,2004.0,59,336.0,325.0,34.4135739,-118.581226
PAST SALE,Townhouse,Stevenson Ranch,91381.0,495000,3.0,3.0,STEV - Stevenson Ranch,1667.0,7787.0,1991.0,6,297.0,374.0,34.3883967,-118.58635349999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,495000,3.0,2.5,CAN2 - Canyon Country 2,1600.0,7649.0,1978.0,3,309.0,210.0,34.4224559,-118.431063
PAST SALE,Townhouse,Valencia,91381.0,540000,3.0,3.0,VWES - Valencia Westridge,1701.0,96003.0,2004.0,87,317.0,325.0,34.41202,-118.58264199999999
PAST SALE,Single Family Residential,Stevenson Ranch,91381.0,662000,3.0,2.5,STEV - Stevenson Ranch,1686.0,9557.0,1998.0,62,393.0,25.0,34.3898268,-118.58994229999999
PAST SALE,Single Family Residential,Stevenson Ranch,91381.0,600000,3.0,3.0,STEV - Stevenson Ranch,1979.0,4898.0,1998.0,54,303.0,25.0,34.3917985,-118.58735349999999
PAST SALE,Single Family Residential,Stevenson Ranch,91381.0,525000,2.0,2.0,STEV - Stevenson Ranch,1160.0,4993.0,1990.0,18,453.0,25.0,34.3865285,-118.58004890000001
PAST SALE,Townhouse,Stevenson Ranch,91381.0,465000,3.0,2.5,STEV - Stevenson Ranch,1488.0,183312.0,1990.0,52,313.0,365.0,34.388064,-118.58141699999999
PAST SALE,Single Family Residential,Stevenson Ranch,91381.0,630000,3.0,3.0,SOSR - South Stevenson Ranch,1733.0,117698.0,2007.0,83,364.0,298.0,34.380484100000004,-118.577201
PAST SALE,Single Family Residential,Canyon Country,91387.0,605000,3.0,3.0,CAN3 - Canyon Country 3,2442.0,57793.0,2003.0,68,248.0,84.0,34.406866,-118.44671399999999
PAST SALE,Townhouse,Canyon Country,91387.0,350000,2.0,2.0,CAN3 - Canyon Country 3,1022.0,36105.0,2004.0,19,342.0,317.0,34.402407000000004,-118.4530289
PAST SALE,Condo/Co-op,Canyon Country,91387.0,383000,2.0,2.0,CAN3 - Canyon Country 3,1022.0,38513.0,2004.0,10,375.0,317.0,34.4018559,-118.45251950000001
PAST SALE,Condo/Co-op,Stevenson Ranch,91381.0,395000,2.0,2.0,STEV - Stevenson Ranch,1127.0,37409.0,1993.0,89,350.0,300.0,34.385525200000004,-118.5906539
PAST SALE,Condo/Co-op,Stevenson Ranch,91381.0,420000,2.0,2.0,STEV - Stevenson Ranch,1025.0,38771.0,1991.0,66,410.0,312.0,34.389784999999996,-118.58756799999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,555000,4.0,3.0,Canyon Country 3,3280.0,15444.0,2007.0,13,169.0,80.0,34.409698,-118.43793000000001
PAST SALE,Single Family Residential,Valencia,91381.0,690000,3.0,2.5,VWES - Valencia Westridge,2215.0,184712.0,2003.0,81,312.0,203.0,34.414082,-118.58333799999998
PAST SALE,Single Family Residential,Canyon Country,91387.0,670000,5.0,3.0,CAN3 - Canyon Country 3,2551.0,5703.0,2004.0,52,263.0,80.0,34.404299,-118.44572169999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,630000,4.0,3.5,CAN3 - Canyon Country 3,2309.0,6751.0,2014.0,49,273.0,80.0,34.40674,-118.4384207
PAST SALE,Condo/Co-op,Canyon Country,91387.0,613466,2.0,2.0,Aliento,1701.0,0.0,2019.0,35,361.0,402.0,34.391032,-118.454027
PAST SALE,Single Family Residential,Canyon Country,91387.0,615000,3.0,2.5,Canyon Country 3,2338.0,10322.0,2003.0,24,263.0,80.0,34.4071728,-118.4455392
PAST SALE,Single Family Residential,Stevenson Ranch,91381.0,630000,3.0,2.5,STEV - Stevenson Ranch,1695.0,59357.0,1995.0,59,372.0,114.0,34.3912519,-118.5829212
PAST SALE,Townhouse,Stevenson Ranch,91381.0,460000,2.0,3.0,STEV - Stevenson Ranch,1450.0,45005.0,2005.0,19,317.0,230.0,34.383812,-118.57788799999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,573000,3.0,2.5,CAN3 - Canyon Country 3,2442.0,5600.0,2005.0,20,235.0,80.0,34.408906,-118.44461799999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,637000,4.0,3.0,CAN3 - Canyon Country 3,2282.0,5542.0,2007.0,3,279.0,80.0,34.4089471,-118.43677790000001
